   J  Sym   #        Energy    g Population Name J Ka Kc     
  11   O-   1       35.1818   23 .000971922 v=0 11  1 11     
  11   O-   2       42.1940   23 .00093978  v=0 11  3  9     
  11   O-   3       53.4190   23 .000890525 v=0 11  5  7     
  11   O-   4       70.2926   23 .000821299 v=0 11  7  5     
  11   O-   5       92.8083   23 .000737233 v=0 11  9  3     
  11   O-   6      120.9584   23 .000644128 v=0 11 11  1     
  12   E+   1       41.3226   25 .001025778 v=0 12  0 12     
  12   E+   2       45.8568   25 .001003712 v=0 12  2 10     
  12   E+   3       53.6406   25 .000966934 v=0 12  4  8     
  12   E+   4       67.6662   25 .000904032 v=0 12  6  6     
  12   E+   5       87.3580   25 .000822562 v=0 12  8  4     
  12   E+   6      112.6892   25 .000728464 v=0 12 10  2     
  12   E+   7      143.6546   25 .000627931 v=0 12 12  0     
  12   E-   1       44.9100   25 .00100828  v=0 12  2 11     
  12   E-   2       53.6340   25 .000966964 v=0 12  4  9     
  12   E-   3       67.6662   25 .000904032 v=0 12  6  7     
  12   E-   4       87.3580   25 .000822562 v=0 12  8  5     
  12   E-   5      112.6892   25 .000728464 v=0 12 10  3     
  12   E-   6      143.6546   25 .000627931 v=0 12 12  1     
  12   O+   1       43.9417   25 .001012973 v=0 12  1 11     
  12   O+   2       48.8505   25 .000989404 v=0 12  3  9     
  12   O+   3       59.9404   25 .000938157 v=0 12  5  7     
  12   O+   4       76.8065   25 .000865259 v=0 12  7  5     
  12   O+   5       99.3192   25 .000776704 v=0 12  9  3     
  12   O+   6      127.4678   25 .00067862  v=0 12 11  1     
  12   O-   1       41.4195   25 .001025301 v=0 12  1 12     
  12   O-   2       48.7209   25 .000990019 v=0 12  3 10     
  12   O-   3       59.9402   25 .000938157 v=0 12  5  8     
  12   O-   4       76.8065   25 .000865259 v=0 12  7  6     
  12   O-   5       99.3192   25 .000776704 v=0 12  9  4     
  12   O-   6      127.4678   25 .00067862  v=0 12 11  2     
  13   E+   1       48.0976   27 .001072422 v=0 13  0 13     
  13   E+   2       53.0993   27 .001047003 v=0 13  2 11     
  13   E+   3       60.7227   27 .001009415 v=0 13  4  9     
  13   E+   4       74.7278   27 .000943842 v=0 13  6  7     
  13   E+   5       94.4138   27 .000858809 v=0 13  8  5     
  13   E+   6      119.7425   27 .000760573 v=0 13 10  3     
  13   E+   7      150.7064   27 .000655614 v=0 13 12  1     
  13   E-   1       51.8872   27 .001053107 v=0 13  2 12     
  13   E-   2       60.7103   27 .001009475 v=0 13  4 10     
  13   E-   3       74.7277   27 .000943842 v=0 13  6  8     
  13   E-   4       94.4138   27 .000858809 v=0 13  8  6     
  13   E-   5      119.7425   27 .000760573 v=0 13 10  4     
  13   E-   6      150.7064   27 .000655614 v=0 13 12  2     
