   J  Sym   #        Energy    g Population Name J Ka Kc     
  15   E+   4      230.8320   31 .002087087 v=0 15  6  9     
  15   E+   5      283.2480   31 .001623179 v=0 15  8  7     
  15   E+   6      350.6400   31 .001174896 v=0 15 10  5     
  15   E+   7      433.0080   31 .00079148  v=0 15 12  3     
  15   E+   8      530.3520   31 .000496236 v=0 15 14  1     
  15   E-   1      170.9280   31 .002781704 v=0 15  2 14     
  15   E-   2      193.3920   31 .002497595 v=0 15  4 12     
  15   E-   3      230.8320   31 .002087087 v=0 15  6 10     
  15   E-   4      283.2480   31 .001623179 v=0 15  8  8     
  15   E-   5      350.6400   31 .001174896 v=0 15 10  6     
  15   E-   6      433.0080   31 .00079148  v=0 15 12  4     
  15   E-   7      530.3520   31 .000496236 v=0 15 14  2     
  15   O+   1      165.3120   31 .002857644 v=0 15  1 14     
  15   O+   2      180.2880   31 .002659595 v=0 15  3 12     
  15   O+   3      210.2400   31 .002303723 v=0 15  5 10     
  15   O+   4      255.1680   31 .001857173 v=0 15  7  8     
  15   O+   5      315.0720   31 .00139342  v=0 15  9  6     
  15   O+   6      389.9520   31 .000973014 v=0 15 11  4     
  15   O+   7      479.8080   31 .000632358 v=0 15 13  2     
  15   O+   8      584.6400   31 .000382485 v=0 15 15  0     
  15   O-   1      165.3120   31 .002857644 v=0 15  1 15     
  15   O-   2      180.2880   31 .002659595 v=0 15  3 13     
  15   O-   3      210.2400   31 .002303723 v=0 15  5 11     
  15   O-   4      255.1680   31 .001857173 v=0 15  7  9     
  15   O-   5      315.0720   31 .00139342  v=0 15  9  7     
  15   O-   6      389.9520   31 .000973014 v=0 15 11  5     
  15   O-   7      479.8080   31 .000632358 v=0 15 13  3     
  15   O-   8      584.6400   31 .000382485 v=0 15 15  1     
  16   E+   1      185.2320   33 .002764841 v=0 16  0 16     
  16   E+   2      192.7200   33 .002667313 v=0 16  2 14     
  16   E+   3      215.1840   33 .002394887 v=0 16  4 12     
  16   E+   4      252.6240   33 .00200126  v=0 16  6 10     
  16   E+   5      305.0400   33 .001556429 v=0 16  8  8     
  16   E+   6      372.4320   33 .001126581 v=0 16 10  6     
  16   E+   7      454.8000   33 .000758932 v=0 16 12  4     
  16   E+   8      552.1440   33 .000475829 v=0 16 14  2     
  16   E+   9      664.4640   33 .000277656 v=0 16 16  0     
  16   E-   1      192.7200   33 .002667313 v=0 16  2 15     
  16   E-   2      215.1840   33 .002394887 v=0 16  4 13     
  16   E-   3      252.6240   33 .00200126  v=0 16  6 11     
  16   E-   4      305.0400   33 .001556429 v=0 16  8  9     
  16   E-   5      372.4320   33 .001126581 v=0 16 10  7     
  16   E-   6      454.8000   33 .000758932 v=0 16 12  5     
  16   E-   7      552.1440   33 .000475829 v=0 16 14  3     
  16   E-   8      664.4640   33 .000277656 v=0 16 16  1     
  16   O+   1      187.1040   33 .00274013  v=0 16  1 15     
  16   O+   2      202.0800   33 .002550225 v=0 16  3 13     
  16   O+   3      232.0320   33 .002208988 v=0 16  5 11     
  16   O+   4      276.9600   33 .001780801 v=0 16  7  9     
  16   O+   5      336.8640   33 .001336118 v=0 16  9  7     
  16   O+   6      411.7440   33 .000933001 v=0 16 11  5     
  16   O+   7      501.6000   33 .000606354 v=0 16 13  3     
  16   O+   8      606.4320   33 .000366757 v=0 16 15  1     
  16   O-   1      187.1040   33 .00274013  v=0 16  1 16     
  16   O-   2      202.0800   33 .002550225 v=0 16  3 14     
  16   O-   3      232.0320   33 .002208988 v=0 16  5 12     
  16   O-   4      276.9600   33 .001780801 v=0 16  7 10     
  16   O-   5      336.8640   33 .001336118 v=0 16  9  8     
  16   O-   6      411.7440   33 .000933001 v=0 16 11  6     
  16   O-   7      501.6000   33 .000606354 v=0 16 13  4     
  16   O-   8      606.4320   33 .000366757 v=0 16 15  2     
  17   E+   1      208.3860   35 .002624208 v=0 17  0 17     
  17   E+   2      215.8740   35 .00253164  v=0 17  2 15     
  17   E+   3      238.3380   35 .002273071 v=0 17  4 13     
  17   E+   4      275.7780   35 .001899466 v=0 17  6 11     
  17   E+   5      328.1940   35 .001477261 v=0 17  8  9     
  17   E+   6      395.5860   35 .001069278 v=0 17 10  7     
  17   E+   7      477.9540   35 .000720329 v=0 17 12  5     
