   J  Sym   #        Energy    g Population Name J Ka Kc     
  15   O+   7      138.5530   31 .000316925 v=0 15 13  2     
  15   O+   8      174.8402   31 .000266303 v=0 15 15  0     
  15   O-   1       29.1689   31 .000535532 v=0 15  1 15     
  15   O-   2       34.8918   31 .000521034 v=0 15  3 13     
  15   O-   3       45.2487   31 .000495786 v=0 15  5 11     
  15   O-   4       60.7967   31 .000460161 v=0 15  7  9     
  15   O-   5       81.5310   31 .000416604 v=0 15  9  7     
  15   O-   6      107.4498   31 .000367908 v=0 15 11  5     
  15   O-   7      138.5530   31 .000316925 v=0 15 13  3     
  15   O-   8      174.8402   31 .000266303 v=0 15 15  1     
  16   E+   1       32.7005   33 .000560509 v=0 16  0 16     
  16   E+   2       35.6798   33 .000552557 v=0 16  2 14     
  16   E+   3       43.2969   33 .000532735 v=0 16  4 12     
  16   E+   4       56.2479   33 .000500653 v=0 16  6 10     
  16   E+   5       74.3887   33 .000458936 v=0 16  8  8     
  16   E+   6       97.7151   33 .000410362 v=0 16 10  6     
  16   E+   7      126.2259   33 .000357918 v=0 16 12  4     
  16   E+   8      159.9210   33 .00030451  v=0 16 14  2     
  16   E+   9      198.8002   33 .00025271  v=0 16 16  0     
  16   E-   1       35.4685   33 .000553117 v=0 16  2 15     
  16   E-   2       43.2966   33 .000532736 v=0 16  4 13     
  16   E-   3       56.2479   33 .000500653 v=0 16  6 11     
  16   E-   4       74.3887   33 .000458936 v=0 16  8  9     
  16   E-   5       97.7151   33 .000410362 v=0 16 10  7     
  16   E-   6      126.2259   33 .000357918 v=0 16 12  5     
  16   E-   7      159.9210   33 .00030451  v=0 16 14  3     
  16   E-   8      198.8002   33 .00025271  v=0 16 16  1     
  16   O+   1       34.0427   33 .000556912 v=0 16  1 15     
  16   O+   2       38.7800   33 .000544402 v=0 16  3 13     
  16   O+   3       49.1230   33 .000518056 v=0 16  5 11     
  16   O+   4       64.6700   33 .000480834 v=0 16  7  9     
  16   O+   5       85.4038   33 .000435321 v=0 16  9  7     
  16   O+   6      111.3225   33 .000384437 v=0 16 11  5     
  16   O+   7      142.4255   33 .000331164 v=0 16 13  3     
  16   O+   8      178.7126   33 .000278267 v=0 16 15  1     
  16   O-   1       32.9661   33 .000559795 v=0 16  1 16     
  16   O-   2       38.7686   33 .000544432 v=0 16  3 14     
  16   O-   3       49.1230   33 .000518056 v=0 16  5 12     
  16   O-   4       64.6700   33 .000480834 v=0 16  7 10     
  16   O-   5       85.4038   33 .000435321 v=0 16  9  8     
  16   O-   6      111.3225   33 .000384437 v=0 16 11  6     
  16   O-   7      142.4255   33 .000331164 v=0 16 13  4     
  16   O-   8      178.7126   33 .000278267 v=0 16 15  2     
  17   E+   1       36.7623   35 .00058301  v=0 17  0 17     
  17   E+   2       39.8361   35 .000574479 v=0 17  2 15     
  17   E+   3       47.4152   35 .000553972 v=0 17  4 13     
  17   E+   4       60.3638   35 .000520617 v=0 17  6 11     
  17   E+   5       78.5039   35 .000477238 v=0 17  8  9     
  17   E+   6      101.8299   35 .000426728 v=0 17 10  7     
  17   E+   7      130.3406   35 .000372192 v=0 17 12  5     
  17   E+   8      164.0356   35 .000316655 v=0 17 14  3     
  17   E+   9      202.9147   35 .000262789 v=0 17 16  1     
  17   E-   1       39.5728   35 .000575205 v=0 17  2 16     
  17   E-   2       47.4148   35 .000553973 v=0 17  4 14     
  17   E-   3       60.3638   35 .000520617 v=0 17  6 12     
  17   E-   4       78.5039   35 .000477238 v=0 17  8 10     
  17   E-   5      101.8299   35 .000426728 v=0 17 10  8     
  17   E-   6      130.3406   35 .000372192 v=0 17 12  6     
  17   E-   7      164.0356   35 .000316655 v=0 17 14  4     
  17   E-   8      202.9147   35 .000262789 v=0 17 16  2     
  17   O+   1       38.2072   35 .000578984 v=0 17  1 16     
  17   O+   2       42.9044   35 .000566087 v=0 17  3 14     
  17   O+   3       53.2397   35 .000538712 v=0 17  5 12     
  17   O+   4       68.7855   35 .000500008 v=0 17  7 10     
  17   O+   5       89.5188   35 .000452682 v=0 17  9  8     
  17   O+   6      115.4372   35 .000399769 v=0 17 11  6     
  17   O+   7      146.5400   35 .000344371 v=0 17 13  4     
  17   O+   8      182.8271   35 .000289365 v=0 17 15  2     
  17   O+   9      224.2982   35 .000237175 v=0 17 17  0     
  17   O-   1       36.9995   35 .000582347 v=0 17  1 17     
  17   O-   2       42.8880   35 .000566131 v=0 17  3 15     
  17   O-   3       53.2397   35 .000538712 v=0 17  5 13     
  17   O-   4       68.7855   35 .000500008 v=0 17  7 11     
  17   O-   5       89.5188   35 .000452682 v=0 17  9  9     
  17   O-   6      115.4372   35 .000399769 v=0 17 11  7     
  17   O-   7      146.5400   35 .000344371 v=0 17 13  5     
  17   O-   8      182.8271   35 .000289365 v=0 17 15  3     
  17   O-   9      224.2982   35 .000237175 v=0 17 17  1     
  18   E+   1       41.0583   37 .000603757 v=0 18  0 18     
  18   E+   2       44.2402   37 .000594613 v=0 18  2 16     
  18   E+   3       51.7764   37 .000573506 v=0 18  4 14     
  18   E+   4       64.7221   37 .000538982 v=0 18  6 12     
  18   E+   5       82.8612   37 .000494075 v=0 18  8 10     
  18   E+   6      106.1868   37 .000441784 v=0 18 10  8     
  18   E+   7      134.6973   37 .000385325 v=0 18 12  6     
  18   E+   8      168.3921   37 .000327828 v=0 18 14  4     
  18   E+   9      207.2712   37 .000272062 v=0 18 16  2     
  18   E+  10      251.3342   37 .000220237 v=0 18 18  0     
  18   E-   1       43.9172   37 .000595535 v=0 18  2 17     
  18   E-   2       51.7758   37 .000573508 v=0 18  4 15     
  18   E-   3       64.7221   37 .000538982 v=0 18  6 13     
  18   E-   4       82.8612   37 .000494075 v=0 18  8 11     
  18   E-   5      106.1868   37 .000441784 v=0 18 10  9     
  18   E-   6      134.6973   37 .000385325 v=0 18 12  7     
  18   E-   7      168.3921   37 .000327828 v=0 18 14  5     
  18   E-   8      207.2712   37 .000272062 v=0 18 16  3     
  18   E-   9      251.3342   37 .000220237 v=0 18 18  1     
  18   O+   1       42.6140   37 .000599269 v=0 18  1 17     
  18   O+   2       47.2729   37 .000586027 v=0 18  3 15     
  18   O+   3       57.5989   37 .000557713 v=0 18  5 13     
  18   O+   4       73.1432   37 .000517648 v=0 18  7 11     
  18   O+   5       93.8759   37 .000468653 v=0 18  9  9     
  18   O+   6      119.7940   37 .000413874 v=0 18 11  7     
  18   O+   7      150.8967   37 .000356522 v=0 18 13  5     
  18   O+   8      187.1836   37 .000299575 v=0 18 15  3     
  18   O+   9      228.6547   37 .000245544 v=0 18 17  1     
  18   O-   1       41.2688   37 .000603148 v=0 18  1 18     
  18   O-   2       47.2502   37 .000586091 v=0 18  3 16     
  18   O-   3       57.5989   37 .000557713 v=0 18  5 14     
  18   O-   4       73.1432   37 .000517648 v=0 18  7 12     
  18   O-   5       93.8759   37 .000468653 v=0 18  9 10     
  18   O-   6      119.7940   37 .000413874 v=0 18 11  8     
  18   O-   7      150.8967   37 .000356522 v=0 18 13  6     
  18   O-   8      187.1836   37 .000299575 v=0 18 15  4     
  18   O-   9      228.6547   37 .000245544 v=0 18 17  2     
  19   E+   1       45.5882   39 .000622716 v=0 19  0 19     
  19   E+   2       48.8925   39 .000612925 v=0 19  2 17     
  19   E+   3       56.3805   39 .000591305 v=0 19  4 15     
  19   E+   4       69.3228   39 .000555718 v=0 19  6 13     
  19   E+   5       87.4608   39 .00050942  v=0 19  8 11     
  19   E+   6      110.7859   39 .000455505 v=0 19 10  9     
  19   E+   7      139.2961   39 .000397293 v=0 19 12  7     
  19   E+   8      172.9908   39 .000338011 v=0 19 14  5     
  19   E+   9      211.8697   39 .000280512 v=0 19 16  3     
  19   E+  10      255.9327   39 .000227078 v=0 19 18  1     
  19   E-   1       48.5016   39 .000614075 v=0 19  2 18     
  19   E-   2       56.3795   39 .000591307 v=0 19  4 16     
  19   E-   3       69.3228   39 .000555718 v=0 19  6 14     
  19   E-   4       87.4608   39 .00050942  v=0 19  8 12     
  19   E-   5      110.7859   39 .000455505 v=0 19 10 10     
  19   E-   6      139.2961   39 .000397293 v=0 19 12  8     
  19   E-   7      172.9908   39 .000338011 v=0 19 14  6     
  19   E-   8      211.8697   39 .000280512 v=0 19 16  4     
  19   E-   9      255.9327   39 .000227078 v=0 19 18  2     
  19   O+   1       47.2627   39 .000617735 v=0 19  1 18     
  19   O+   2       51.8861   39 .000604188 v=0 19  3 16     
  19   O+   3       62.2007   39 .000575027 v=0 19  5 14     
  19   O+   4       77.7432   39 .000533723 v=0 19  7 12     
  19   O+   5       98.4752   39 .000483209 v=0 19  9 10     
  19   O+   6      124.3929   39 .000426729 v=0 19 11  8     
  19   O+   7      155.4954   39 .000367596 v=0 19 13  6     
  19   O+   8      191.7823   39 .000308881 v=0 19 15  4     
  19   O+   9      233.2532   39 .000253171 v=0 19 17  2     
  19   O+  10      279.9082   39 .000202413 v=0 19 19  0     
  19   O-   1       45.7738   39 .000622162 v=0 19  1 19     
  19   O-   2       51.8550   39 .000604278 v=0 19  3 17     
  19   O-   3       62.2007   39 .000575028 v=0 19  5 15     
  19   O-   4       77.7432   39 .000533723 v=0 19  7 13     
  19   O-   5       98.4752   39 .000483209 v=0 19  9 11     
  19   O-   6      124.3929   39 .000426729 v=0 19 11  9     
  19   O-   7      155.4954   39 .000367596 v=0 19 13  7     
  19   O-   8      191.7823   39 .000308881 v=0 19 15  5     
  19   O-   9      233.2532   39 .000253171 v=0 19 17  3     
  19   O-  10      279.9082   39 .000202413 v=0 19 19  1     
  20   E+   1       50.3515   41 .000639864 v=0 20  0 20     
  20   E+   2       53.7927   41 .000629391 v=0 20  2 18     
  20   E+   3       61.2276   41 .000607344 v=0 20  4 16     
  20   E+   4       74.1658   41 .000570803 v=0 20  6 14     
  20   E+   5       92.3026   41 .000523251 v=0 20  8 12     
  20   E+   6      115.6272   41 .000467874 v=0 20 10 10     
  20   E+   7      144.1371   41 .000408082 v=0 20 12  8     
  20   E+   8      177.8316   41 .00034719  v=0 20 14  6     
  20   E+   9      216.7104   41 .00028813  v=0 20 16  4     
  20   E+  10      260.7733   41 .000233245 v=0 20 18  2     
  20   E+  11      310.0203   41 .000184179 v=0 20 20  0     
  20   E-   1       53.3257   41 .000630802 v=0 20  2 19     
  20   E-   2       61.2261   41 .000607348 v=0 20  4 17     
  20   E-   3       74.1658   41 .000570803 v=0 20  6 15     
  20   E-   4       92.3026   41 .000523251 v=0 20  8 13     
  20   E-   5      115.6272   41 .000467874 v=0 20 10 11     
  20   E-   6      144.1371   41 .000408082 v=0 20 12  9     
  20   E-   7      177.8316   41 .00034719  v=0 20 14  7     
  20   E-   8      216.7104   41 .00028813  v=0 20 16  5     
  20   E-   9      260.7733   41 .000233245 v=0 20 18  3     
  20   E-  10      310.0203   41 .000184179 v=0 20 20  1     
  20   O+   1       52.1526   41 .000634361 v=0 20  1 19     
  20   O+   2       56.7444   41 .000620544 v=0 20  3 17     
  20   O+   3       67.0451   41 .000590633 v=0 20  5 15     
  20   O+   4       82.5855   41 .000548213 v=0 20  7 13     
  20   O+   5      103.3166   41 .000496329 v=0 20  9 11     
  20   O+   6      129.2340   41 .000438317 v=0 20 11  9     
  20   O+   7      160.3363   41 .000377578 v=0 20 13  7     
  20   O+   8      196.6229   41 .000317269 v=0 20 15  5     
  20   O+   9      238.0938   41 .000260046 v=0 20 17  3     
  20   O+  10      284.7488   41 .00020791  v=0 20 19  1     
  20   O-   1       50.5145   41 .000639364 v=0 20  1 20     
  20   O-   2       56.7025   41 .000620668 v=0 20  3 18     
  20   O-   3       67.0451   41 .000590633 v=0 20  5 16     
  20   O-   4       82.5855   41 .000548213 v=0 20  7 14     
  20   O-   5      103.3166   41 .000496329 v=0 20  9 12     
  20   O-   6      129.2340   41 .000438317 v=0 20 11 10     
  20   O-   7      160.3363   41 .000377578 v=0 20 13  8     
  20   O-   8      196.6229   41 .000317269 v=0 20 15  6     
  20   O-   9      238.0938   41 .000260046 v=0 20 17  4     
  20   O-  10      284.7488   41 .00020791  v=0 20 19  2     
  21   E+   1       55.3483   43 .000655187 v=0 21  0 21     
  21   E+   2       58.9409   43 .000643994 v=0 21  2 19     
  21   E+   3       66.3179   43 .000621609 v=0 21  4 17     
  21   E+   4       79.2514   43 .000584223 v=0 21  6 15     
  21   E+   5       97.3867   43 .000535557 v=0 21  8 13     
  21   E+   6      120.7106   43 .000478879 v=0 21 10 11     
  21   E+   7      149.2201   43 .000417681 v=0 21 12  9     
