   J  Sym   #        Energy    g Population Name J Ka Kc     
  14   O+   5       53.6647   29 .000204056 v=0 14  9  5     
  14   O+   6       73.4244   29 .000185607 v=0 14 11  3     
  14   O+   7       97.1362   29 .000165656 v=0 14 13  1     
  14   O-   1       13.9238   29 .000246902 v=0 14  1 14     
  14   O-   2       18.1014   29 .000242004 v=0 14  3 12     
  14   O-   3       26.0022   29 .000233006 v=0 14  5 10     
  14   O-   4       37.8572   29 .000220128 v=0 14  7  8     
  14   O-   5       53.6647   29 .000204056 v=0 14  9  6     
  14   O-   6       73.4244   29 .000185607 v=0 14 11  4     
  14   O-   7       97.1362   29 .000165656 v=0 14 13  2     
  15   E+   1       15.5436   31 .000261887 v=0 15  0 15     
  15   E+   2       17.6234   31 .000259288 v=0 15  2 13     
  15   E+   3       23.5083   31 .000252072 v=0 15  4 11     
  15   E+   4       33.3860   31 .000240409 v=0 15  6  9     
  15   E+   5       47.2172   31 .000224979 v=0 15  8  7     
  15   E+   6       65.0008   31 .000206587 v=0 15 10  5     
  15   E+   7       86.7365   31 .000186136 v=0 15 12  3     
  15   E+   8      112.4242   31 .000164561 v=0 15 14  1     
  15   E-   1       17.5670   31 .000259358 v=0 15  2 14     
  15   E-   2       23.5083   31 .000252072 v=0 15  4 12     
  15   E-   3       33.3860   31 .000240409 v=0 15  6 10     
  15   E-   4       47.2172   31 .000224979 v=0 15  8  8     
  15   E-   5       65.0008   31 .000206587 v=0 15 10  6     
  15   E-   6       86.7365   31 .000186136 v=0 15 12  4     
  15   E-   7      112.4242   31 .000164561 v=0 15 14  2     
  15   O+   1       16.3190   31 .000260915 v=0 15  1 14     
  15   O+   2       20.0546   31 .000256282 v=0 15  3 12     
  15   O+   3       27.9528   31 .000246756 v=0 15  5 10     
  15   O+   4       39.8076   31 .000233118 v=0 15  7  8     
  15   O+   5       55.6150   31 .000216098 v=0 15  9  6     
  15   O+   6       75.3746   31 .00019656  v=0 15 11  4     
  15   O+   7       99.0863   31 .000175432 v=0 15 13  2     
  15   O+   8      126.7501   31 .000153634 v=0 15 15  0     
  15   O-   1       15.8407   31 .000261514 v=0 15  1 15     
  15   O-   2       20.0529   31 .000256284 v=0 15  3 13     
  15   O-   3       27.9528   31 .000246756 v=0 15  5 11     
  15   O-   4       39.8076   31 .000233118 v=0 15  7  9     
  15   O-   5       55.6150   31 .000216098 v=0 15  9  7     
  15   O-   6       75.3746   31 .00019656  v=0 15 11  5     
  15   O-   7       99.0863   31 .000175432 v=0 15 13  3     
  15   O-   8      126.7501   31 .000153634 v=0 15 15  1     
  16   E+   1       17.6080   33 .000276036 v=0 16  0 16     
  16   E+   2       19.7163   33 .000273259 v=0 16  2 14     
  16   E+   3       25.5895   33 .00026567  v=0 16  4 12     
  16   E+   4       35.4666   33 .000253379 v=0 16  6 10     
  16   E+   5       49.2975   33 .000237117 v=0 16  8  8     
  16   E+   6       67.0810   33 .000217732 v=0 16 10  6     
  16   E+   7       88.8166   33 .000196178 v=0 16 12  4     
  16   E+   8      114.5043   33 .000173439 v=0 16 14  2     
  16   E+   9      144.1441   33 .000150457 v=0 16 16  0     
  16   E-   1       19.6443   33 .000273354 v=0 16  2 15     
  16   E-   2       25.5895   33 .00026567  v=0 16  4 13     
  16   E-   3       35.4666   33 .000253379 v=0 16  6 11     
  16   E-   4       49.2975   33 .000237117 v=0 16  8  9     
  16   E-   5       67.0810   33 .000217732 v=0 16 10  7     
  16   E-   6       88.8166   33 .000196178 v=0 16 12  5     
  16   E-   7      114.5043   33 .000173439 v=0 16 14  3     
  16   E-   8      144.1441   33 .000150457 v=0 16 16  1     
  16   O+   1       18.4266   33 .000274955 v=0 16  1 15     
  16   O+   2       22.1372   33 .000270105 v=0 16  3 13     
  16   O+   3       30.0336   33 .000260067 v=0 16  5 11     
  16   O+   4       41.8880   33 .000245694 v=0 16  7  9     
  16   O+   5       57.6952   33 .000227757 v=0 16  9  7     
  16   O+   6       77.4548   33 .000207164 v=0 16 11  5     
  16   O+   7      101.1665   33 .000184896 v=0 16 13  3     
  16   O+   8      128.8302   33 .000161923 v=0 16 15  1     
  16   O-   1       17.8850   33 .00027567  v=0 16  1 16     
  16   O-   2       22.1347   33 .000270108 v=0 16  3 14     
  16   O-   3       30.0336   33 .000260067 v=0 16  5 12     
  16   O-   4       41.8880   33 .000245694 v=0 16  7 10     
  16   O-   5       57.6952   33 .000227757 v=0 16  9  8     
  16   O-   6       77.4548   33 .000207164 v=0 16 11  6     
  16   O-   7      101.1665   33 .000184896 v=0 16 13  4     
  16   O-   8      128.8302   33 .000161923 v=0 16 15  2     
  17   E+   1       19.7995   35 .000289705 v=0 17  0 17     
  17   E+   2       21.9416   35 .000286744 v=0 17  2 15     
  17   E+   3       27.8009   35 .000278798 v=0 17  4 13     
  17   E+   4       37.6772   35 .000265901 v=0 17  6 11     
  17   E+   5       51.5079   35 .000248835 v=0 17  8  9     
  17   E+   6       69.2913   35 .000228493 v=0 17 10  7     
  17   E+   7       91.0268   35 .000205874 v=0 17 12  5     
  17   E+   8      116.7145   35 .000182011 v=0 17 14  3     
  17   E+   9      146.3542   35 .000157893 v=0 17 16  1     
  17   E-   1       21.8511   35 .000286868 v=0 17  2 16     
  17   E-   2       27.8009   35 .000278798 v=0 17  4 14     
  17   E-   3       37.6772   35 .000265901 v=0 17  6 12     
  17   E-   4       51.5079   35 .000248835 v=0 17  8 10     
  17   E-   5       69.2913   35 .000228493 v=0 17 10  8     
  17   E-   6       91.0268   35 .000205874 v=0 17 12  6     
  17   E-   7      116.7145   35 .000182011 v=0 17 14  4     
  17   E-   8      146.3542   35 .000157893 v=0 17 16  2     
  17   O+   1       20.6651   35 .000288505 v=0 17  1 16     
  17   O+   2       24.3503   35 .000283451 v=0 17  3 14     
  17   O+   3       32.2445   35 .00027292  v=0 17  5 12     
  17   O+   4       44.0984   35 .000257837 v=0 17  7 10     
  17   O+   5       59.9056   35 .000239013 v=0 17  9  8     
  17   O+   6       79.6650   35 .000217403 v=0 17 11  6     
  17   O+   7      103.3767   35 .000194034 v=0 17 13  4     
  17   O+   8      131.0404   35 .000169926 v=0 17 15  2     
  17   O+   9      162.6561   35 .000146019 v=0 17 17  0     
  17   O-   1       20.0567   35 .000289348 v=0 17  1 17     
  17   O-   2       24.3467   35 .000283455 v=0 17  3 15     
  17   O-   3       32.2445   35 .00027292  v=0 17  5 13     
  17   O-   4       44.0984   35 .000257837 v=0 17  7 11     
